UID,Treatment,ndvi_Kharif_target,dist_closest_lin,dist_closest_river,dist_closest_upstream_forest,elevation,slope,proximity_water,HSG_3,HSG_4,HSG_13,HSG_14,CEC,pH,OC,flow_accumulation,precip_targetyr_Kharif,frequency,lat,lon,geometry,check_dam,distance_to_canal,mean_stream_order
20466.0,0.0,0.3605107109069401,1556.1125342266369,1331.9703095223667,55.545371815103785,276.937688442211,2.058445384028502,4.9501466275659824,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,676.6876189669182,6.0,24.28914272542989,84.62035653301061,POINT (84.62035653301061 24.28914272542989),0.0,0.19464477313909692,1.0
2715.0,1.0,0.2109704796793746,2969.1018280318663,1041.231270918487,879.093876292493,682.6705631111612,2.245368414050048,2.683284457478006,1.0,0.0,0.0,0.0,0.0,7.599999904632568,1.399999976158142,1.0,628.753413822841,0.0,23.536834277588703,84.7625435874326,POINT (84.7625435874326 23.536834277588703),0.0,0.06275165987082683,1.060580826480691
1769.0,1.0,0.1535619059644339,2639.4426305844354,22.60850803155208,0.0,544.8958919527294,2.5194821955048106,2.903225806451613,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,60.0,555.2282618182202,4.0,23.39452206746798,83.27559391374633,POINT (83.27559391374633 23.39452206746798),0.0,0.2727094127116639,2.8453683442742523
3155.0,1.0,0.2203485918519504,3001.923133206556,772.4489564977214,0.0,434.1183197463769,4.81332998884761,0.0,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,7.0,592.4297905333382,0.0,22.6105452157564,84.9488715840519,POINT (84.9488715840519 22.6105452157564),0.0,0.23210659096781003,3.0
19900.0,0.0,0.2586715864043744,7016.362646354324,924.4018397838512,86.23175634301991,187.95336903168223,1.9247542109036224,13.375366568914956,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,557.6515270906718,0.0,24.37699796021678,84.82005202067037,POINT (84.82005202067037 24.37699796021678),0.0,0.017871561756230198,2.0
19058.0,0.0,0.1845342203463149,5986.326615925585,63.37463017731915,348.6775396072809,178.21303425956924,8.181945432577397,120.44868035190618,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,740.164398082453,0.0,24.4079898375189,84.81304516145424,POINT (84.81304516145424 24.4079898375189),0.0,0.003194030285557244,6.0
1741.0,1.0,0.214424285405087,3527.087419543227,896.1368617701982,58.142279634456266,560.4636783421556,3.2757468539149475,14.961876832844576,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,629.5822005468624,0.0,23.383566056179667,83.32396178287306,POINT (83.32396178287306 23.383566056179667),0.0,0.2717130739913764,1.0
18092.0,0.0,0.1434741684333011,6094.319019051205,2271.905823058757,247.0382499422089,197.8122070966302,2.904360005324027,115.52785923753666,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,740.164398082453,0.0,24.37996240065437,84.78501772458972,POINT (84.78501772458972 24.37996240065437),0.0,0.007505349171906818,1.9824289405684756
20065.0,0.0,0.2778764810990179,914.4042801190292,4213.078977179582,247.65188346406893,272.79187137114786,3.4350681292020404,1.6334310850439886,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,4.0,557.6515270906718,0.0,24.31339723810112,84.63679570270999,POINT (84.63679570270999 24.31339723810112),0.0,0.16877856056690707,1.2268073223704627
20210.0,0.0,0.2276659000893474,228.5846140518867,2641.900765572276,0.0,236.7514231499051,2.5290541622119496,59.58357771260997,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,447.3571089944874,0.0,24.331992364482392,84.60822927667499,POINT (84.60822927667499 24.331992364482392),0.0,0.18876537717157796,1.0
18752.0,0.0,0.2612018688119083,7285.380772796894,329.02471164260885,106.46096770628424,185.79533534203773,2.118529246569398,68.3900293255132,0.0,0.0,1.0,0.0,6.0,6.300000190734863,0.5299999713897705,1.0,676.6876189669182,6.0,24.39262864616046,84.8090027426757,POINT (84.8090027426757 24.39262864616046),0.0,0.003332619359894235,1.0
20841.0,0.0,0.2914419284846462,1228.819150004576,1980.8631434281103,430.4549694191389,271.34721911994643,2.8802960875219656,5.334310850439883,1.0,0.0,0.0,0.0,6.0,6.300000190734863,0.5299999713897705,3.0,557.6515270906718,0.0,24.294532617134607,84.62439895178915,POINT (84.62439895178915 24.294532617134607),0.0,0.18846994299230246,2.5933167804676183
21199.0,0.0,0.2678421099284073,1258.6500884542993,330.01780542230574,0.0,250.04041983028125,3.009486736471017,0.3460410557184751,0.0,1.0,0.0,0.0,14.0,6.599999904632568,0.9800000190734864,5.0,447.3571089944874,0.0,24.303964927617866,84.57912386146953,POINT (84.57912386146953 24.303964927617866),0.0,0.22546305972820938,3.9770352746457016
